108401,0.04,0.00,1.00,0.37,0.67,1.28
108412,0.05,0.00,1.03,0.85,0.37,1.46
108422,0.04,0.00,1.01,0.37,-0.06,0.98
108433,0.04,-0.00,1.01,0.37,-0.79,0.79
108444,0.04,0.01,1.00,0.61,-1.83,0.37
108454,0.05,0.00,1.01,0.37,-0.06,0.61
108465,0.04,0.02,1.01,0.06,-0.55,0.31
108476,0.04,0.00,1.02,0.55,0.61,1.65
108486,0.04,-0.00,1.02,0.37,-0.55,0.85
108497,0.05,0.01,1.00,0.00,-0.18,0.85
108508,0.05,-0.01,1.03,0.37,0.12,1.22
108518,0.04,0.00,1.01,0.31,0.55,1.28
108529,0.04,-0.01,1.00,0.24,0.24,1.53
108542,0.04,0.02,1.00,0.67,0.00,2.01
108552,0.05,-0.00,1.00,0.18,0.24,0.79
108563,0.04,-0.00,1.01,0.00,0.24,0.55
108574,0.05,0.00,0.99,0.43,-1.16,1.28
108585,0.03,-0.01,1.01,0.06,0.43,-0.12
108596,0.05,0.01,1.01,0.31,-0.73,1.28
108606,0.03,0.00,1.01,0.31,-1.04,0.18
108617,0.04,-0.00,1.02,0.06,0.12,2.62
108628,0.06,0.01,0.99,0.55,-0.12,0.67
108639,0.05,-0.00,1.01,0.18,-0.18,-0.12
108650,0.04,0.01,1.02,0.49,-1.28,0.61
108660,0.03,-0.01,0.99,0.24,-0.43,1.34
108671,0.03,0.00,1.02,-0.06,-0.31,0.18
108682,0.04,-0.00,1.02,0.43,0.00,1.65
108695,0.05,0.00,1.01,-0.06,0.79,2.93
108705,0.06,-0.00,1.00,0.61,-2.32,-0.55
108716,0.04,0.02,1.00,0.49,-0.49,0.24
108727,0.04,0.01,1.01,0.31,0.18,0.55
108738,0.03,-0.00,1.02,0.55,-0.49,0.85
108748,0.04,-0.00,1.02,0.43,-0.55,0.24
108759,0.06,0.00,1.02,0.73,0.06,1.10
108770,0.06,-0.00,1.02,0.12,0.18,1.22
108781,0.05,0.01,1.00,0.55,-0.24,1.34
108792,0.03,0.02,1.02,0.18,-1.28,0.37
108802,0.05,0.00,1.00,0.24,-0.12,0.31
108813,0.04,0.02,1.02,0.67,-0.79,0.55
108824,0.04,0.01,1.01,0.49,0.43,1.53
108836,0.05,-0.00,1.01,0.24,1.04,0.85
108847,0.05,0.00,1.01,-0.18,0.55,0.00
108858,0.05,0.01,1.01,0.31,-0.85,0.18
108869,0.04,0.01,1.01,0.67,-1.16,1.16
108880,0.04,0.01,1.02,0.85,-1.59,0.73
108890,0.04,-0.00,1.02,-0.18,-0.43,0.61
108901,0.05,0.02,1.00,0.55,0.00,0.67
108912,0.04,-0.01,1.01,0.31,-0.73,0.43
108923,0.05,0.00,1.02,0.12,1.10,0.79
108934,0.04,0.00,1.01,0.79,-0.85,0.67
108944,0.04,0.02,1.02,0.12,-0.49,0.12
108955,0.06,-0.01,1.02,0.55,-0.98,0.24
108966,0.06,0.00,1.01,0.18,-1.04,0.61
108977,0.04,-0.02,1.01,0.31,-0.67,-0.06
108989,0.04,0.01,1.00,0.43,-0.92,0.49
109000,0.03,0.01,1.00,0.31,0.85,2.01
109011,0.04,-0.01,1.01,0.37,-0.18,0.85
